Ticker,Price,Change_%,SMA_20,SMA_50,RSI,MACD,BB_Upper,BB_Lower,VWAP,Volume,Volume_Avg_20,52W_High,52W_Low,Signal_Count,Signals,Scan_Time
CVX,148.71,-0.86,151.64,151.98,37.4,-1.4795,155.73,147.55,152.91,10236200,8979770,163.27,127.59,3,"RSI_Normal, RSI_Bounce, BB_Oversold_Bounce",2025-12-09 03:31:24
EOG,110.62,-1.38,108.74,108.0,53.67,0.731,112.86,104.62,109.59,4161900,3586090,134.2,99.8,3,"Golden_Cross, RSI_Normal, BB_Breakout",2025-12-09 03:31:25
KMI,27.29,-1.73,27.09,26.94,51.9,0.2691,27.75,26.44,26.95,12509500,13891400,30.15,23.17,3,"Golden_Cross, RSI_Normal, BB_Breakout",2025-12-09 03:31:29
OTIS,86.12,-0.38,88.06,89.78,38.78,-1.2161,90.71,85.41,89.54,2294600,2352560,105.37,83.46,3,"RSI_Normal, RSI_Bounce, BB_Oversold_Bounce",2025-12-09 03:31:40
GIS,45.96,0.07,46.9,47.69,40.38,0.0063,48.32,45.48,48.08,5843800,5868545,65.04,45.15,3,"RSI_Normal, RSI_Bounce, BB_Oversold_Bounce",2025-12-09 03:31:48
ADM,57.94,-1.81,58.82,59.83,48.54,0.797,61.57,56.08,59.92,2428400,2981560,64.46,39.88,3,"RSI_Normal, From_Low_Rebound, Strong_Rebound",2025-12-09 03:31:50
MDLZ,54.76,-0.27,56.29,58.82,44.35,-0.1817,57.8,54.78,59.2,9884300,9138480,70.58,52.78,3,"RSI_Normal, RSI_Bounce, BB_Oversold_Bounce",2025-12-09 03:31:51
HSY,180.78,-0.83,181.32,181.5,54.12,6.4166,191.92,170.73,181.3,1824400,1691785,201.43,135.68,3,"RSI_Normal, From_Low_Rebound, Strong_Rebound",2025-12-09 03:31:52
CPB,30.04,1.49,30.6,30.65,43.25,-0.1935,31.86,29.33,31.16,13024600,6452450,42.36,29.03,3,"RSI_Normal, RSI_Bounce, Volume_Surge",2025-12-09 03:31:53
SJM,100.68,0.57,104.24,104.05,34.96,-1.9185,110.56,97.91,104.79,1414900,1850700,117.94,91.46,3,"Golden_Cross, RSI_Normal, RSI_Bounce",2025-12-09 03:31:54
SBUX,83.41,-2.01,84.98,83.69,49.25,0.9915,87.69,82.26,83.41,10272000,9288320,115.04,73.95,3,"Golden_Cross, RSI_Normal, BB_Oversold_Bounce",2025-12-09 03:31:57
RCL,252.41,-2.04,259.61,284.23,54.71,0.674,272.18,247.05,291.48,2839400,2333345,365.38,163.05,3,"RSI_Normal, From_Low_Rebound, Strong_Rebound",2025-12-09 03:31:58
CCL,26.01,0.54,25.96,27.47,54.66,-0.5087,27.09,24.84,28.4,15747400,19462460,32.8,15.07,3,"RSI_Normal, From_Low_Rebound, Strong_Rebound",2025-12-09 03:31:59
ETSY,54.34,2.03,55.39,63.43,48.93,-2.8462,62.5,48.29,63.84,2925900,3796665,76.51,40.05,3,"RSI_Normal, From_Low_Rebound, Strong_Rebound",2025-12-09 03:32:01
AMT,183.2,2.43,180.24,183.96,57.37,-0.7151,185.13,175.35,185.52,5804200,3069970,232.28,168.28,3,"RSI_Normal, Volume_Surge, BB_Breakout",2025-12-09 03:32:05
UMH,14.97,-2.28,15.0,14.57,54.71,0.1852,15.35,14.65,14.61,596800,583860,18.78,13.74,3,"Golden_Cross, RSI_Normal, Above_VWAP",2025-12-09 03:32:12
MAC,17.4,-1.97,17.13,17.34,63.17,-0.1138,18.16,16.09,17.42,2097500,1595535,21.63,12.24,3,"RSI_Normal, From_Low_Rebound, Strong_Rebound",2025-12-09 03:32:13
CDP,29.21,0.34,29.67,28.87,57.04,0.6404,31.06,28.27,29.21,604600,895865,32.1,23.41,3,"Golden_Cross, RSI_Normal, From_Low_Rebound",2025-12-09 03:32:15
CMCSA,26.65,-2.42,27.1,28.47,44.17,-0.3046,27.99,26.21,28.91,40114900,34975235,41.72,25.75,3,"RSI_Normal, RSI_Bounce, BB_Oversold_Bounce",2025-12-09 03:32:15
T,24.84,-1.74,25.51,25.65,40.25,0.2643,26.16,24.86,25.97,41325300,39550170,29.47,20.72,3,"RSI_Normal, RSI_Bounce, BB_Oversold_Bounce",2025-12-09 03:32:16
VZ,41.3,-0.94,40.91,40.6,52.61,0.2931,41.77,40.06,40.82,22923600,24671090,45.09,35.79,3,"Golden_Cross, RSI_Normal, BB_Breakout",2025-12-09 03:32:17
TTWO,247.28,-0.24,241.3,249.94,70.23,0.3215,251.57,231.03,248.66,1096100,1539630,264.79,177.35,3,"From_Low_Rebound, BB_Breakout, Strong_Rebound",2025-12-09 03:32:18
IAC,36.71,-0.14,34.3,33.7,77.07,1.0374,37.56,31.04,34.13,894100,1094195,41.86,29.56,3,"Golden_Cross, From_Low_Rebound, Above_VWAP",2025-12-09 03:32:20
MSGS,225.4,-0.14,220.52,221.96,72.01,3.0197,230.09,210.95,219.96,107200,150030,237.99,173.26,3,"From_Low_Rebound, Above_VWAP, Strong_Rebound",2025-12-09 03:32:21
CAR,132.09,-2.05,134.4,142.96,53.99,-2.6197,143.84,124.96,146.54,329700,627250,212.81,54.03,3,"RSI_Normal, From_Low_Rebound, Strong_Rebound",2025-12-09 03:32:23
RIOT,14.96,0.13,14.73,18.19,57.99,-0.9572,17.11,12.35,17.99,12456100,20099140,23.93,6.19,3,"RSI_Normal, From_Low_Rebound, Strong_Rebound",2025-12-09 03:32:25
CLSK,13.89,1.28,12.66,15.9,65.12,-0.5252,16.37,8.96,15.3,19500500,38719060,23.61,6.45,3,"RSI_Normal, From_Low_Rebound, Strong_Rebound",2025-12-09 03:32:26
MRAM,9.17,5.77,8.3,9.6,69.77,-0.5315,9.4,7.19,9.74,286200,198030,12.27,4.34,3,"RSI_Normal, From_Low_Rebound, Strong_Rebound",2025-12-09 03:32:29
